currently pit fiend stats (should be strong)

ANIM							60448
ALIGN							19
RACE							121
CLASS							160
RESIST_FIRE						100
RESIST_COLD						50
RESIST_ELECTRICAL				0
RESIST_ACID						0
RESIST_MAGIC					70
NONE
RESIST_SLASHING					0
RESIST_PIERCING					0
RESIST_CRUSHING					0
RESIST_MISSILE					0
HP								80
AC								-5
THAC0							7
ATTACKS							5
STR								19
DEX								17
CON								15
INT								20
WIS								16
CHR								25
WEAPON
GENERIC_SCRIPT					d0demabi
LEVEL							13
XP_VALUE						28000
